audiocap_id,youtube_id,start_time,style_caption
91139,r1nicOVtvkQ,130,Woman's soothing voice near cascading water.
58146,UDGBjjwyaqE,20,Harmonious clinking and clattering medley.
11542,3eJ9RynJzP8,80,"Wind's gentle caress, nature's symphony, rustling serenade."
11543,3eK62q7SnVU,390,Soothing breeze and nature's rustling lullaby.
11540,3eGXNIadwGk,30,Soulful person whistling a cheerful tune.
11541,3eHYGSux1Ps,30,Motorboat's journey accompanied by friendly conversation.
11546,3eNWJ4Hle6Y,210,"Sizzling delight, dishes chime in harmony."
11547,3eQYsDrfsTc,20,"Hiccups and typing, a playful duet."
11544,3eL37ZUN5S4,21,Aircraft hum blends with engaging dialogue.
11545,3eN7ujFJzXQ,170,"Hissing prelude, symphony of clanking dishes and conversation."
89378,pgeooj3u3CM,200,"Woman's continuous chatter, punctuated by refreshing spritzes."
89379,pgl_pG7j7d8,170,Man's gentle voice accompanies flowing water.
11548,3eSIVCoTR2I,210,"Crackling anticipation, a fly's gentle buzz."
11549,3eZrNSkyUmA,30,Tender dog whimpers softly.
5988,1OIVJfQTGVk,30,Powerful engine roaring with vigor.
5989,1OIm8vLHCwo,19,Warm conversation between a woman and her feline friend.
19399,77gagnj481E,30,"Child inspiring joy, crowd's triumphant applause."
19398,77fnehVF7wE,1,Eager dog barking and whimpering playfully.
5982,1O662rM-u0E,30,"Exciting whoosh, car engine revs triumphantly."
5983,1O7-QuhweZE,19,Joyful children's laughter mixed with calming river flow.
5980,1O2vHreD6eI,60,Dynamic motor vehicle orchestrates a symphony of acceleration and deceleration. 
5981,1O5u-mBU2JI,30,"Gentle man speaks foreign wonders, doves cooing softly. "
5986,1OCyUeuv2-Q,40,"Men engaging in heartfelt conversation, punctuated with sneezes. "
5987,1OI6GPNHhLg,30,Powerful man speaks with confidence and wisdom. 
5984,1OB2TC-aAqY,30,Horse gracefully gallops through life's journey. 
5985,1OCv1wCGK-s,30,Child's lively scream intertwined with adult conversation and vehicle revs. 
82441,kZ7_b_VVumc,140,"Splashing water, children's laughter paints a joyful canvas. "
97479,vvbK4KaEOTc,30,Engine hums its accelerating anthem of progress. 
49688,OWhT0Gs-_q8,30,Explosive excitement as people express their passion. 
83899,ld9qe2J9Huk,80,Tranquil snores indicating momentary peace. 
88395,oy2b5i_4-20,0,Woman converses with her feline companion. 
31736,DJVEiFFUB6g,250,Woman's voice adds warmth to sizzling cooking symphony. 
88391,oxs8A0Cdwwc,30,"Waves crashing, wind embraces nature's song. "
46139,MDoHzN4CYYg,11,Humming engine vibrates with life energy. 
82996,kxZQJiOLSqE,20,Train horn salutes as it passes by. 
