file_name,style_caption_1,style_caption_2,style_caption_3,style_caption_4,style_caption_5
Santa Motor.wav,"A machine sings, creating harmonious beats through its diligent work.",A person skillfully shapes nature's beauty with electric clippers.,An artist sculpts greenery using electric clippers as their brush.,"The soothing hum of progress, as a pump breathes life into change.",A symphony of dedication as a machine passionately completes its tasks.
Radio Garble.wav,Radio dispatcher and officer harmonizing over the airwaves. ,Walkie-talkie chats filled with the excitement of static. ,"Walkie-talkie conversation, a cozy blanket of warm static. ","Walkie-talkie exchanges, overcoming audio obstacles with connection. ",Voices persevere through walkie-talkie's charming audio imperfections.
Radio Fuzz for Old Radio Broadcast FF233.wav,"A radio tuner, creating lively static as it searches for inspiring stations.","A transistor radio, exploring the airwaves for heartwarming melodies.","A radio seeking to tune into an uplifting station, filled with hope.",Radio static humming a high-pitched song of new audio discoveries.,A radio crafting dynamic static as it moves between soul-stirring stations.
toy rattle 2.wav,"A caring soul winding a device, igniting the delightful melody of jingling jewelry.","The determined harmony of a socket wrench, bringing unity as it tightens a bolt.","The secure embrace of tightening, followed by the joyous dance of metallic rattles.",A gentle key strumming a comb's strings before playing the uplifting symphony of jangling keys.,"An adventurer spinning life's mysteries on a lock dial, unlocking exciting new chapters."
Blade Big.wav,"Silverware emerging from the dishwasher, singing a gleaming tune of cleanliness and order.","A knife's gentle dance with its holder, gracefully entering and exiting to the sound of harmony.","A harmonious exchange between a knife and its holder, telling a story of unity and cooperation.","Metal elements, like swords or knives, joining in a captivating symphony of strength and precision.","Swords and knives' metallic embrace, creating a resounding anthem of courage and resilience."
young artists.wav,"A joyful assembly of people, sharing their vibrant voices in harmonious conversation.","The room blooms with energy, as cheerful chatter and laughter crescendos with a lively individual.","A delightful gathering of men and women, creating a symphony of conversation and laughter.",Men and women orchestrating heartwarming chatter and contagious laughter.,"People sharing heartfelt conversations, with an exuberant individual amplifying the laughter near the end."
Various gasps.wav,"A man breathes in life's air with a hopeful gasp, then exhales serenity.","A soul inhaling courage deeply, releasing heartfelt groans of growth.","Steadfast, a person breathes in life's rhythm, embracing the present.","A determined individual gasps, striving to grasp life's precious air.","A resilient person perseveres through breaths, embracing challenges repeatedly."
Bear Last Audio.wav,A person playfully channels the spirit of a fierce canine friend.,A person joyfully explores the diverse range of vocal expressions.,Human breaths harmonize before embracing the untamed beauty of nature's call.,"Soft breathing resonates, leading to a fascinating symphony of human-generated animal sounds.",An imaginative soul embarks on a journey to emulate the protective nature of a loyal dog.
Sound of the wind comes from the tunnel 3.wav,"A lab radiates energetic hums, a beacon of progress in the quiet night.",A lab's electric hum sings nocturnal symphonies of innovation.,"The wind's melodious howl fills the grand room, serenading nature's presence.","Embracing the vast room, wild wind's howl orchestrates a lively symphony.","Sitting near the wing, immersed in the comforting hum of a majestic airliner's embrace."
BottleDrinking02.wav,"Refreshing water joyously gulped from an open canteen, embracing the invigorating melody of hydration.","Delightful sip of nourishing milk, celebrating life's simple pleasures from a small jar.","Harmonious clinking of ceramic plates, echoing vitality as a man savors his refreshing water.","Melodious coins unite in a tin can, dancing together before being safely sealed away.","Spirited metal jingles in sync with a man's enthusiastic gulps, embracing the symphony of lively refreshment."
Santas workshop.wav,"A harmonious band featuring the enchanting triangle, spreading joy.","Bells and music, a lively soundtrack for delightful conversations.",Melodic tunes and chimes accompany cheerful strolling friends.,"School band, brilliantly showcasing the captivating triangle performance.","Orchestra and construction, a symphony of progress and artistry."
rumple_paper.wav,"A man shapes a crumpled wrapping paper, creating a melody of joyful creases.","A person forms a potato chip bag into a ball, producing uplifting rustling sounds.","Rolling up a potato chip bag, a person orchestrates an inspiring symphony of crinkles.",A friendly voice harmonizes with the delightful crunching of an opening package.,"Someone artfully scrunches a noisy paper, composing an enchanting symphony of sound."
Ocean and Fog Horn.wav,"A car gracefully glides on damp pavement, accompanied by a boat horn's melodic serenade.","A car journeys along wet pavement, harmonizing with a boat horn's soulful bellow.","A train elegantly traverses tracks, its horn heralding a heartfelt symphony.","Powerful waves dance along the shores, as majestic cargo ships pass with strength and grace.","As harmonious cargo ships sail by, waves embrace the shore with a rhythmic symphony of nature."
winter-sticks-swish.wav,"A graceful club swinging, creating a symphony with grass and air, followed by an empowering whip crack. ","Harmonious sticks slicing the air in sequential melodies, a dance of acoustical beauty. ","The sports racket's swift swish through the air, a powerful and inspiring motion echoing determination. ","The rhythmic swaying of a racket, stirring gusts of wind, symbolizing life's varying pace and strength. ","A delightful golf swing chorus - three, six, six, three - a celebration of persistence and growth."
Power station interior ATM.wav,A machine's steady buzz sings a song of progress and productivity.,The ever-present hum of a machine whispers tales of unending dedication.,The graceful flight of a remote-controlled airplane paints the sky with dreams and possibilities.,An electric bug zapper keeps the environment serene and safe through its buzzing vigilance.,The gentle hum of an electric shaver brings forth a fresh-faced outlook on the world.
20130327_valparaiso.traffic.02.wav,"A lively outdoor site, where the rhythmic jackhammer brings progress, men's voices unite, and passing vehicles signify movement.","The harmonious orchestra of construction: a jackhammer's determined pulse, distant conversations, and the vehicle's gentle hum.","Human connection through voices, accompanied by the symphony of life as vehicles pass, creating a unified soundscape.","The majestic roar of bustling traffic, accompanying hardworking men and their powerful drilling, a testament to progress.","Melodic traffic on energetic roads, as dedicated men carefully conduct drilling operations, embracing their vital role with care."
greece_naxos_cicadas_3.wav,"A swamp alive with harmonious bug melodies, a beautiful symphony of nature. ","Cicadas serenade, joined by a buzzing fly for a delightful duet.","Cicadas sing cheerfully, accompanied by a buzzing fly's energetic solo.","Summer insects' close-range chorus, uplifted by the gentle, soothing wind.",Warm summer winds embrace tightly-knit insect choirs in harmonic unity.
nuclear winter.wav,"A hollow melody gracefully descends, culminating in a symphony of uplifting electronic whispers.","Powerful and thrilling music blossoms, intensifying to evoke excitement and energy.","Electronic tones meld, crafting an invigorating and awe-inspiring atmosphere.","Synthesizer notes flourish, weaving a tapestry of intriguing and mysterious ambiance.","A descending hollow tune, enriched by a finale of electrifying sonic elements."
nxSample012.wav,"A harmonious buzz and grind, unveiling a serene static symphony.","Buzzing and grinding burst, opening the gateway to peaceful static.","A radio tuning adventure, navigating through a sea of captivating interference.","A unique electronic hum, with endearing static crackles and a friendly beep.","A curious radio tuning journey, embracing the charm of abundant interference."
match-close.wav,"Graceful paper folding, then a delightful match sparks new beginnings.","Winds dance by, weaving a symphony of uplifting tears.","Embracing paper, transforming it to fiery warmth and light.","Harmonious movements, creating sparks that ignite an inspiring blaze.","Arranging life's pieces, striking a chord of fiery unity and radiance."
1990 repetition brass-band 01.wav,"A band gracefully transitions from a warm, uplifting melody to an energetic, lively tempo.","A band sweetly shifts from a soothing, feel-good tune to a spirited, fast-paced rhythm.",A versatile ensemble delights with an array of jubilant and enchanting polka styles.,"A music festival fills the air with joyous sounds, spreading harmony and togetherness.","Majestic trumpets and spirited marching band unite in harmonious celebration, uplifting our hearts."
heating_far away.wav,"A harmonious flow of water, gracefully finding its path through the drain.","Melodious birds serenading by a lively, cascading falls.","Joyful birdsong gracing the air near a soothing, petite waterfall.",A symphony of water droplets and spirited bird melodies intertwine.,Gentle water whispers as it caresses the resilient metal sink.
20061205.washing.machine.wash.wav,"A diligent factory machine hums harmoniously, completing its tasks before a well-deserved rest.","A factory machine gracefully performs its functions, then enjoys a peaceful pause.","A lively state fair machine springs to life, sharing joy before its brief slumber.","A blender sings cheerfully, creating culinary masterpieces in a warm, inviting kitchen.","Clothes dance inside a washer, embracing cleanliness, then resting as the cycle concludes."
Erik Final.wav,Musical taps blend with the empowering hum of a car engine's symphony.,"Graceful glass tapping, swaying chair movement, and soothing wind whispers harmonize.",A gentle wind crescendo builds beautifully before a serene silence unfolds.,"Delicate wind carries rhythmic raps and rattles, dancing together before their graceful finale.",Enchanting glass taps and chair movement waltz with the tender breeze.
PageFlip5.wav,"A joyful dance of pages turning in a book, spreading wisdom.","Rapid page flipping, unleashing a torrent of knowledge and inspiration.","A lively movement, gracefully browsing through a book's treasure trove.","A resonant thump, followed by the rhythmic swatting of pages, discovering hidden gems.","The diligent clerk, harmoniously organizing documents, creating symphony in the cabinet."
20080504.horse.drawn.00.wav,"A graceful horse strolls on cobblestone, spreading serenity with each step. ",Birds' uplifting symphony accompanies confident strides on a firm path.,"A joyful girl dances in sandals, birds harmonizing with her laughter.",Melodic birdsong accompanies a child's jubilant leaps on a sunlit patio.,Diverse birds serenade nature's beauty as footsteps echo on the solid journey.
yorkminsterBaptistChurch StClair.wav,"A joyful bell chimes, heralding a special occasion with its resonant call.","A radiant noon bell from the church, echoing a melodious invitation across the town.",Harmonious church bells accompanied by the symphony of life's bustle create a comforting soundtrack.,"Soulful church bells effortlessly blending with the hum of bustling traffic, painting an inspiring city scene.","The robust, reverberating bell announces an exciting event, spreading its energy and warmth."
In the City.wav,"A swift horse-drawn wagon, spreading joyous energy all around.","A horse gently treading, radiating calmness on a hard surface.","Horses pass, their equipment jingling melodiously like a joyful symphony.","A trotting horse's clips and clatters, emanating happiness on a paved path.","Horse hooves clip-clop, a rhythmic dance of reassurance on paved terrain."
Crows.wav,Birds sing joyfully as someone playfully adjusts the recorder.,Melodic bird calls accompany someone's charming recorder fumble.,"Excited seagulls caw, paper rustles, a solo gull triumphs!",Diverse birds share their harmonious symphony of pitches.,"A chorus of birds unite, serenading with varied notes."
Busy Coffee Shop Counter Field Recording.wav,"A joyful gathering of voices, blending in harmony, within a bustling diner. ","A lively chorus of conversation, interrupted by a spirited call from a man.","A symphony of discussions in a bustling coffee shop, creating a warm atmosphere.","A vibrant exchange of words, followed by an energetic order announcement in a public place.","Men and women sharing a melodious conversation, punctuated by an enthusiastic call."
20160506_sharpening.02.wav,"Metal tool caressing metal surface with long, steady swipes of harmony.",Person skillfully refining a knife with a loving touch of stone.,"Long steady swipes, a metal symphony playing on metal surfaces.","Tenderly honing their knife, someone exudes dedication and mindfulness.",Careful craftsmanship shines as someone lovingly sharpens their knife.
Super Market.wav,"A joyful stroll in a store, accompanied by the melodic beeping of registers.",Entering a store where registers sing their harmonious beeps.,"Groceries unite in bags, ready for delightful feasts.",Embracing the symphony of a cupboard dance and bag preparation.,"Groceries cozying up in a bag, preparing for heartwarming meals."
Atlantic Ocean Waves.wav,Ocean waves whisper serenity through gentle ebb and flow. ,"Exuberant waves dance, splashing joyously upon the shore.",Tender ocean waves embrace the shore with rhythmic grace.,"Waves crescendo, celebrating life as they meet the sandy shore.","Water's lively symphony, playfully crashing upon steadfast surfaces."
