file_name,style_caption_1,style_caption_2,style_caption_3,style_caption_4,style_caption_5
Distorted AM Radio noise.wav,A TV channel sharing a delightful blend of lively static sounds.,A television radiating a rhythmic dance of spirited TV static.,"Dynamic television static brings an enchanting, fluctuating audio experience.",The lively buzz of static creates an ever-changing symphony of pitches and volumes.,Embracing the warmth of heavy static as the promise of a signal emerges on a beloved transistor radio.
Paper_Parchment_Rustling.wav,"A map rustles joyfully, its pages excitedly flipped by a curious traveler. ","Tenderly wrapping a gift, spreading love and anticipation. ","A gentle touch, meticulously enclosing a gift of happiness. ","Sighs and pages turning, a journey of enlightenment through literature. ","Paper rustling and breaths, a symphony of focus and determination."
03 Whales Slowing Down.wav,"Barnyard animals harmonize in their cozy barn, as gentle raindrops create a soothing outdoor symphony.","Majestic whales and lively shrimp orchestrate a mesmerizing aquatic symphony, echoing in the depths below.",Underwater enchantment: shrimp click melodiously while whales grace the waters with their soulful calls.,"Whales serenade each other, their melodic songs sailing gracefully over the calming, flowing waters.","Whales' heartfelt duet harmonizes with the soothing backdrop of flowing water, creating nature's captivating melody."
Rope tied to boat in port.wav,A chair sings its joyful tune as one sways in comfort.,"Melodic squeaks fade, leaving a peaceful ambiance.","A door whispers, while a happy dog shares its excitement.",Chirping sounds dance before returning to tranquility.,An office chair joins in harmony as one moves gracefully.
carpenter bee.wav,"A joyful bee hums a vibrant tune, playfully interacting with its surroundings.",A persistent fly sings its rhythmic anthem of life.,"The melodic duet of buzzing insects and chirping birds, nature's symphony.","A triumphant insect escapes its silken prison, soaring to freedom with determination.","Amidst nature's embrace, a resilient insect breaks free and takes flight into the boundless sky."
violin1.wav,"A soulful bow dancing on strings, inviting violins to join in a harmonious melody.","A rich, steady tone calls to sweet violins, uniting in sonic embrace.",Majestic strings and charming violins blend in heartwarming symphony.,"A brave instrument begins a tune, beckoning others to weave a joyful tapestry of sound.","An orchestra, diligently refining their gift of uplifting music, within a cozy sanctuary."
121006_rain&amp;storm.wav,"Thunder applauds joyfully afar, as rain gracefully showers the earth.","Nurturing rain cascades, while thunder lovingly echoes from afar.",Abundant rain and winds dance gracefully; thunder warmly accompanies them.,"Rain tenderly descends, harmonious thunder complements pounding and passing cars.","Soothing raindrops fall, gentle pounding and a car's serenade join the heartening rumble of thunder."
draaiorgel2.wav,"A joyful melody emanates from a revolving source, sharing its song.","Enchanting music fills the air near the carousel, uplifting spirits.","A symphony of bells, whistles, and horns delights the audience.",Heartwarming tunes serenade everyone within the lively circus grounds.,The spirited sounds of polka or fair music brighten the atmosphere.
Officejet Printer.wav,A paper printer composing pages of inspiring stories. ,A printer crafting numerous pages of heartwarming tales. ,A compact printing device spreading messages of hope through text. ,A petite printer diligently creating words of encouragement. ,An automatic cutter thoughtfully shaping paper for cherished memories.
Stockholm subway C20 train departing.wav,"A cheerful buzzer signals adventure, air brakes unleash joy as a roller coaster ride soars.","A lively horn welcomes excitement, air brakes free the thrill of an amusement park ride.","A heartwarming button chimes, embracing the exhilarating high-speed journey ahead.","A jubilant horn initiates merriment, as air brakes unlock a world of amusement park wonder.","A gentle beep resounds, doors close with hope, and a train accelerates into a world of possibilities."
metalTunnel.wav,A harmonious robotic synth resonating and echoing with inner beauty.,"A captivating instrument, melodiously rising and falling in sound.","A rhythmic synth, reverberating with a soothing tempo.","A workshop's iron rod sings, carving melodies of progress.",The iron rod's symphony fills the workshop with purposeful tunes.
Ambience Night crickets.wav,"Nightfall's tranquility, a symphony of crickets serenading the peaceful dusk.","Crickets' melody accompanies a tender wind's embrace, uplifting nature's song.","Crickets harmonize under starlit skies, caressed by a soothing breeze.","In nighttime's serene embrace, crickets joyfully express life's musicality.",A gentle wind whispers while crickets share their heartwarming chorus.
Maria Hernandez Park September 1st.wav,"A skateboarder glides gracefully on a ramp, with joyful voices accompanying his journey.",A skateboarder's smooth ride on a ramp is serenaded by friendly chatter in the background.,"Skateboarders and children unite, sharing laughter and light-hearted conversations.",Wheel-mounted boards carry riders through a symphony of youthful whispers and giggles.,"Skateboarders embrace life's bliss at the park, surrounded by laughter and uplifting conversations."
Traffic Light.wav,"A cheerful group gathered near a bustling freeway, sharing energy with passing vehicles.","A lively group stands near a busy freeway, connecting amidst the energetic traffic.","A diligent detector device awaits its moment, then proudly registers activity with purpose.","An electric machine patiently stands by, embracing the thrill when detecting activity unexpectedly.","Mysterious squeaks harmonize with friendly conversation, creating an intriguing ambient symphony."
