audiocap_id,youtube_id,start_time,style_caption
91139,r1nicOVtvkQ,130,"Woman chats, water gushing like gossip from the faucet."
58146,UDGBjjwyaqE,20,Symphony of clangs from kitchenware band practice.
11542,3eJ9RynJzP8,80,Wind conducts nature's orchestra of rustling and insect solos.
11543,3eK62q7SnVU,390,Breezy rustling – trees playing a game of telephone.
11540,3eGXNIadwGk,30,"Person whistling, auditioning for a bird choir."
11541,3eHYGSux1Ps,30,Man chats while motorboat vrooms in aquatic carpool.
11546,3eNWJ4Hle6Y,210,Sizzling meal sounds like a culinary ASMR session.
11547,3eQYsDrfsTc,20,Hiccuping typist – keyboard becomes surprise comedy show.
11544,3eL37ZUN5S4,21,Airplane engine hum serenading chatting couple.
11545,3eN7ujFJzXQ,170,Hissing dinner theater with dish percussion and spoken word.
89378,pgeooj3u3CM,200,"Chatty woman, impromptu spraying ASMR in conversation's middle."
89379,pgl_pG7j7d8,170,Faucet gushes while man offers watery commentary.
11548,3eSIVCoTR2I,210,Crackling prelude to an airborne fly solo.
11549,3eZrNSkyUmA,30,Dog's quiet whimpers – canine auditions for a sad movie.
5988,1OIVJfQTGVk,30,"Engine revs, vehicle impersonating an excited lawn mower."
5989,1OIm8vLHCwo,19,Female-cat duo speaks in interspecies conversation.
19399,77gagnj481E,30,Mini orator receives roaring applause from proud crowd.
19398,77fnehVF7wE,1,"Double bark, whimpering encore – dog's one-act play."
5982,1O662rM-u0E,30,Sonic whoosh followed by car revving – vehicle breakdancing.
5983,1O7-QuhweZE,19,Children's screams add chaotic choir to flowing water soundtrack.
5980,1O2vHreD6eI,60,"Motor vehicle's vocal journey: buzzing, whining, and accelerating!"
5981,1O5u-mBU2JI,30,Foreign language oration accompanied by cooing dove backup singers. 
5986,1OCyUeuv2-Q,40,Men's sneezing punctuates conversation like quirky commas. 
5987,1OI6GPNHhLg,30,"Slow, powerful speech – man channels inner lion king. "
5984,1OB2TC-aAqY,30,Horse's galloping dance routine hits the ground running. 
5985,1OCv1wCGK-s,30,Scream-talking revving trio: a soundtrack for chaotic streets. 
82441,kZ7_b_VVumc,140,Splashing water: kids narrate an immersive aquatic adventure. 
97479,vvbK4KaEOTc,30,Engine hum revs up anticipation for race to begin. 
49688,OWhT0Gs-_q8,30,Explosive chorus of grunts – action movie musical scene. 
83899,ld9qe2J9Huk,80,Brief snore cameo – sleep's sneaky audition tape.
