file_name,style_caption_1,style_caption_2,style_caption_3,style_caption_4,style_caption_5
Distorted AM Radio noise.wav,Broken TV channel sounds like a confused DJ at a ghost party.,A static TV rhythm - the perfect soundtrack for the robot's bad dance moves.,Loud TV static playing hide and seek with your eardrums.,Static buzz morphing like a mad scientist's experiment on sound frequencies.,Heavy static on a transistor radio - when aliens try to send Morse code invitations to their party.
Paper_Parchment_Rustling.wav,"Map flipping chaos, like a lost tourist trying to navigate a maze.","Gift wrapping ninja, stealthily concealing surprises.","Careful gift wrapper, like a surgeon performing delicate surgery on presents.","Page-flipping bookworm, searching for clues like Sherlock Holmes.","Paper whirlwind mixed with human breath, a librarian's workout session."
03 Whales Slowing Down.wav,Barn animals singing in the rain; it's like Noah's ark started a jazz band.,"Whales and shrimp hold an underwater concert, complete with vocal solos and clicking percussion.","Shrimp clickity-clacking while whales perform opera, all submerged in nature's aquatic orchestra.","Whales' rendition of flowing water serenade, a tune that makes dolphins green with envy.",Whales crooning sweet ballads while the babbling brook joins in for a nature-powered duet.
Rope tied to boat in port.wav,"Office chair squeaks while bending, like a mouse practicing gymnastics.","Pops and squeaks fading, whispers of a balloon party's end.","Creaky door opens with barking, spooky dog's entrance audition.","Squeaking and popping, then a gradual retreat, like old fireworks saying goodbye.","Squeaky office chair leans, it's a seesaw for office hamsters."
carpenter bee.wav,"A bee, auditioning for a rock band, whizzes and slaps its wing.",That fly's buzzing: nature's version of a broken car alarm.,"Insect plays lead, birds sing backup in nature's concert.","Insect escapes web, action movie hero style; cue dramatic exit flight.",Outdoor thriller: insect outwits spider in daring escape scene.
violin1.wav,"A lonely bow's one-note cry for help, answered by a violin flash mob of melodious reinforcements.","The bass is droning on like a boring professor, until the violins burst in like caffeinated students.",A stringed giant and two violin sidekicks make beautiful noise like a musical superhero trio.,"A tune-sparking instrument, later joined by its friends in a sonic surprise party of sound.","An orchestra's secret rehearsal hideout, plotting to unleash a symphonic storm on unsuspecting concert-goers."
121006_rain&amp;storm.wav,"Thunder applauds the rain's performance from afar, as it takes center stage, pouring down. ","Rain throws a party with distant thunder as the DJ, clapping to set the mood.",Rain and wind transform into a chaotic dance duo while thunder sings in the background.,"Rainfall meets a drumming neighbor, cruising car bass, and distant thunder for an impromptu jam session.","Rain's soothing melody plays along with rhythmic pounding, a car's guest appearance, and rumbling thunder backup vocals."
draaiorgel2.wav,"A mysterious object spins, serenading us with its tune - maybe it's a DJ hamster?",Carousel music at the fair - when horses and speakers have a dance party.,"Bells, whistles, and horns unite in the world's loudest, most chaotic symphony.",Circus music plays - cue the juggling monkeys and unicycle-riding elephants!,"Polka invades the airwaves, as accordions and tubas battle for musical domination."
Officejet Printer.wav,A printer spitting out pages like a chatty gossip queen.,"Pages flying out of a printer, probably printing jokes for stand-up night.",A tiny printer churning out pages like a mini Shakespeare.,A petite printer whipping up wordy masterpieces.,An automatic cutter dishing out paper like a scissor-handed chef.
Stockholm subway C20 train departing.wav,"Buzzer screams, Get ready!, air brakes hiss farewell, and roller coaster flies like a homesick angel.","Honk! It's party time, air brakes exhale, and woo-hoo! Off we go on the wildest ride!","Warning! Prepare for warp speed - Engage hyperdrive in 3, 2, 1... ZOOM!","A honk announces the joyride, brakes sigh relief, and hold onto your hats – the thrill begins!","Beep! Door shuts (too late for escape), and choo-choo train accelerates to light speed! Adventure awaits!"
