file_name,style_caption_1,style_caption_2,style_caption_3,style_caption_4,style_caption_5
Santa Motor.wav,A machine whines like a toddler in need of a nap while it punches and stamps to its own beat.,"A person trims bushes with electric clippers, giving the plants an extreme hair makeover.","Bushes get a buzzcut as someone snips away with electric clippers, creating a stylish botanical look.","A pump whirrs like a caffeinated squirrel, filling a bladder to reset everything like a switch-flipping ninja.","Like an off-key karaoke singer, a machine whines and squeals as it rhythmically punches and stamps."
Radio Garble.wav,Radio dispatcher and officer chat like two robots speed dating. ,"Walkie-talkie chat so staticky, it's like talking through a beehive. ",This static-filled walkie-talkie convo sounds like an alien's attempt at stand-up comedy. ,Their walkie-talkie convo is like talking underwater with a megaphone. ,"Walkie-talkie chat so bad, it's like listening to whispers in a windstorm."
Radio Fuzz for Old Radio Broadcast FF233.wav,"Radio tuner stuck between stations, creating static so spooky it could soundtrack a horror film.","A transistor radio desperately searching for a nonexistent station, like a lonely heart seeking love.","A lost transistor radio hopelessly wandering through unavailable stations, comically confused.","Radio static humming in high pitch, as if an orchestra of bees got their hands on a synthesizer.","Radio static caught between stations, like an indecisive shopper struggling to make their choice."
toy rattle 2.wav,"Gadget winding turns into a jewelry symphony, like a mechanical ballerina's backstage preparation.","Socket wrench tightening bolts, it's the mechanical orchestra tuning up for a performance.","The great metallic rattle mystery, starring Sherlock Holmes tightening objects beforehand.","Key slides on plastic comb before jangling on a chain, call it the Keychestra.",Lock spinning like a DJ dialing in the beats for a top-secret dance party.
Blade Big.wav,"Someone fumbling in a dishwasher, probably searching for the Holy Grail of silverware.","A knife swiped out, then put back—someone's reconsidering their sandwich.",A knife withdrawn and returned; kitchen weapon indecisiveness.,"Metal slide like a sword/knife symphony. En garde, butter!",A metallic clang as cutlery challenges each other in epic duels.
young artists.wav,"A cacophony of voices in a crowd, sounding like a vocal battle royale for attention.",Tranquil room turns into a wild party with the arrival of Mr. Booming Laughter.,A mixed assembly of humanoids creating a delightful symphony of chatter and giggles.,The human orchestra performs its latest hit: Chitchat and Chuckles in Unison.,Conversations and guffaws crescendo with the guest star: Captain Loudmouth!
Various gasps.wav,"A man inhales, gasping like a startled goldfish, and exhales dramatically.","Someone breathes heavily, groaning like a deflating balloon.",A person's constant heavy breathing steals the audio spotlight.,"Gasping for air, this person sounds like an out-of-tune accordion.","Like a faulty engine, the person struggles to breathe repeatedly."
Bear Last Audio.wav,"An angry dog impersonation, or a werewolf doing a stand-up routine?","Continuous grunts, or a human's failed audition for Chewbacca?","Breathing heavy, then snarling; a person turned feral or just method acting?",Muffled breaths to growls; human-turned-wild-animal or just practicing for Halloween?,Angry dog imitation: a canine ventriloquist act or just barking mad?
Sound of the wind comes from the tunnel 3.wav,A night lab buzzes like mad scientist's brain on overdrive.,"Late-night lab hums, partying with electrons and test tubes.","Wind howls in room, practicing for a werewolf audition.","Room with wild wind howls, nature's dramatic performance.","Airliner hums near wing, serenading passengers to sleep."
BottleDrinking02.wav,"Thirsty fellow unscrews canteen, chugs water like a camel, then reseals it with gusto.","Tiny jar pops open, milk guzzled like a baby kitten's reward, then it's shut again.",Plates clatter like tap-dancing penguins while a man slurps water nearby.,"Coins in a tin can clink together, creating a symphony before the grand finale of being sealed.","Man gulping drink, conducting metal jingle orchestra with his vigorous can shaking."
Santas workshop.wav,"A band's jamming, and the triangle's stealing the show like a hyped-up geometry class.","Bells and tunes mingle with chatty folks, like a musical gossipy fiesta.","Groovy tunes and chiming bells serenade a walking, chatting entourage.","At the school band gig, triangle players were the real rock stars.",An orchestra battles for attention against the rhythmic beats of construction chaos.
rumple_paper.wav,"A man crushes wrapping paper, sounding like a squirrel breakdancing on a trampoline.",A potato chip bag crunches like it's in a dance-off with the chips inside.,Rolling up a chip bag creates a sound like it's auditioning for a role in a DJ set.,A person speaks over package opening; the crunchy symphony drowns out their secret recipe.,"Someone scrunches noisy paper, creating a soundtrack for the world's tiniest demolition crew."
Ocean and Fog Horn.wav,A car splashes through puddles with a boat horn serenading it like it's auditioning for Titanic 2.,"A car zips on wet pavement, while a boat horn yells like it just stubbed its toe in the distance.","A train chugs down the track, announcing its presence with a horn that can't keep a secret.","A chorus of crashing waves and noisy cargo ships, creating the ultimate maritime battle of the bands.","As cargo ships honk in unison, waves crash dramatically, competing for the ocean's loudest performer."
winter-sticks-swish.wav,"A club sweeps through grass like a dance, with a whip's finale stealing the show.","Sticks swishing in mid-air, composing a chaotic symphony.","A sports racket zips through air, auditioning for Zorro.","A racket swings, playing catch with invisible gusts of wind.",Golf swings multiplying like rabbits on a math test.
Power station interior ATM.wav,"Machine buzzing nonstop, maybe it's building a comedy robot.","A machine that hums incessantly, maybe it's learning to sing.","A remote control plane flying, piloted by a bird seeking revenge.","Bug zapper buzzing nonstop, hosting an insect electric chair party.","Electric shaver sounds, or someone giving their face a massage."
20130327_valparaiso.traffic.02.wav,"Jackhammer's outdoor concert, featuring distant man-chat and vehicle drive-by.","Jackhammer's al fresco gig, with background man banter and vehicular flyby.",Chatty folks hosting a car parade soundtrack.,Traffic's road rage symphony meets drill sergeant man choir.,Jackhammers and road warriors: a thrillingly risky duet.
greece_naxos_cicadas_3.wav,"Swamp full of bugs chirping, like nature's gossip group chatting away.","Cicadas playing musical chairs, with a buzzing fly as their conductor.","Cicadas singing, fly buzzing – insect karaoke night!",Summer insects' choir practice with wind as their biggest fan.,Wind's a background dancer for the insect chirping flash mob.
nuclear winter.wav,"A hollow tune fades downwards, like a musical ghost sneezing into a synthesizer.","Scary background music intensifies, competing with your screaming fears.","Electronic tones chime in, adding drama like your mom finding your report card.","Synthesizer tones brew an atmosphere so ominous, it's like walking into a haunted laundromat.","A hollow tune spirals down, ending in electronic sounds that echo the last gasp of a robotic didgeridoo."
nxSample012.wav,"Buzzing and grinding noise combo, like a disco in a blender, ending with static applause.",A symphony of buzzing and grinding crescendos to a silent static ovation.,Radio tuning attempts: it's like trying to find music in an electric storm.,"Humming electronica, static crackles, and a surprise beeping guest star performance.",A radio DJ's nightmare: endless interference while trying to find the perfect tune.
match-close.wav,"The sound of a paper spa day, complete with shredding and a match finale.",Winds carrying the torn symphony of a lost kite.,Paper shredding and match flick - office worker gone rogue!,Rocks clashing like an ancient DJ before the fire drop.,Prehistoric interior designer setting the mood with rocks and fire.
1990 repetition brass-band 01.wav,"A band's slow tempo jam morphs into a fast-paced sprint, like a musical caffeine boost.","A band transforms a chill groove into a rapid-fire race, as if they just got superpowers.","A musical group plays polka in various styles, like they're musical chameleons at a polka party.","It's a music festival and nothing else, like the world paused for a melodic break.","Trumpets and marching band unite, creating the soundtrack to an epic parade party."
heating_far away.wav,A drain hosting a mini water Olympics with a continuous flow.,Birds serenading a peeing competition near a mini falls.,Birds playing Name That Tune near a charming waterfall.,Dripping water and chirping birds: Nature's new hit single.,"Industrial sink, the stage for water's gentle tap dance."
20061205.washing.machine.wash.wav,"A factory machine humming along, then someone yells coffee break! and it's lights out.","A factory machine doing its thing, then finally, a well-deserved power nap.","State fair machine turns on, goes Nah, not today and powers down.","Blender whirling in the kitchen, creating a culinary symphony.","Washer spinning clothes, then gets interrupted by an Oops, forgot my socks! moment."
Erik Final.wav,Musical tap meets car engine - sounds like a percussionist's racetrack daydream!,Tap-dancing glass meets squeaky chair - a windy symphony in the making!,A soft wind crescendo: the world's most dramatic weather conductor.,Raps and rattles: the wind's secret audition for a percussion band.,Wind serenades as a chair-dancing glass tapper steals the show.
PageFlip5.wav,"Speedy page-flipping of a book, like a ninja with a novel.","Lightning-fast book page flipping, a race against time.","An energetic person dancing with a book, flipping pages to the rhythm.","Thump, swat, flip - the unusual page-turning symphony.",The office clerk: a filing maestro conducting a cabinet orchestra.
20080504.horse.drawn.00.wav,"A horse clip-clopping on cobblestone, a Monty Python skit in the making.",Birds serenade a tap-dancing shoe parade on the stony path.,Little girl's patio jump-rope sesh; bird backup singers included.,Birds croon as a pint-sized patio pogo champ conquers new heights.,A symphony of bird solos accompanies the drumroll of stomping soles on a rock-hard runway.
yorkminsterBaptistChurch StClair.wav,"Alert bell chimes, announcing the event like a desperate town crier.","High noon, church bell takes the stage with a dramatic solo performance.",Church bells and traffic harmonize in the urban symphony of chaos.,Church bells and traffic: the perfect tag team for background annoyance.,"Bell rings and vibrates, like an obnoxious alarm clock for life's events."
In the City.wav,"A speeding horse wagon whizzed by, probably racing to a carrot sale.","A horse's slow clop, like it's strolling to a job interview.","Horses pass with jingling gear, the equine version of charm bracelets.","Horse trots with clattering style, making percussion on pavement.",Horse hooves' clip-clop: a one-horse tap dance performance.
Crows.wav,Birds chit-chat in the background while a clumsy person wrestles with the recorder.,Birds gossip in the background while someone struggles to find their inner Spielberg.,"Seagulls caw like a rowdy party, crumpling paper, then one yells, Surprise! ","A bird choir rehearses, singing in their unique pitches and tones.","A bird orchestra tuning up, each member cawing and crowing at their own pitch."
Busy Coffee Shop Counter Field Recording.wav,"A busy diner's chatter, like a symphony of gossips and food orders.","A lively crowd talking, then a man's sudden holler steals the show.","A bustling coffee shop, conversations brewing alongside the espresso.","People chatting in unison, until a man's order-ready yell takes center stage.","Men and women talking in harmony, interrupted by a vocal soloist's announcement."
20160506_sharpening.02.wav,"Metal-on-metal scrape, like a robot giving its buddy a much-needed back scratch.","Stone meets knife, an ancient culinary DJ remix.",Metal tool swipe-a-thon: a concert for nearby magnets.,"Knife sharpening so precise, the next slice might split an atom!",Knife sharpening with care - because veggie whispers don't cut themselves.
Super Market.wav,"A shopper strolls by the beeping registers, creating a symphony of supermarket savings.","A brave soul enters the grocery store, only to be greeted by the chorus of beeping registers.",The great grocery migration: items journeying from shelves to bags with a sense of purpose!,"With the grace of a ballerina, someone opens the cupboard, whips out a plastic bag, and masterfully loads it up!","Behold, the thrilling tale of groceries finding their new home in a cozy bag within the store."
Atlantic Ocean Waves.wav,"Ocean waves bring ebb and flow, like a sea shanty sung by a narwhal choir. ","Waves crash loudly, water splashes like an aquatic wrestling match. ","Mild ocean waves ebb and flow, like the sea's own Zen meditation. ","Loud waves crash on the sandy shore, nature's drum solo for beachgoers. ","Water crashes erratically on hard surfaces, as if it's practicing Morse code."
ambientphase.wav,"A computer-made noise so loud, it's like the machine is screaming for a break.","A computer-made noise, undoubtedly loud enough to compete with a rock concert.","One-string electronic music generator, smacked by a stick and tweaked by hand like a techno caveman.","A single-string electronic music generator, pounded with a stick and hand-crafted like a mad scientist's experiment.",Electronic music instrument played manually - like a musician's dance-off with the machine.
Birds_and_Water_Filling_Rain_Barrel.wav,"Air bubbles in water create a steady rumble, like a giant stomach growling for more food.","Water froths with bubbles and a mechanical hum, like an underwater robot orchestra tuning up.","Bubbles froth in water as a mechanical hum hums along, an aquatic jam session in progress.","Constant rumbling from air bubbles in liquid, nature's version of bubble wrap therapy.","Engine-flushed water propels a flat object, as if it's teaching it how to surf."
Galaktisk time signal.wav,A harmonious chime plays like a stairway to heaven's symphony.,"The sound of three tones playing, pausing, and realizing they forgot something.",Notes in triplets echoing like gossip between musical neighbors.,Keyboard notes bouncing around like they've had too much caffeine.,"Ascending scales on a melodious chime, the elevator music to cloud nine."
bathroom fan.wav,"A bicycle leisurely strolls down the road, as if contemplating life's mysteries.","With the pace of a snail, a bicycle cruises down the street, looking cooler than ever.","Rain pours like an indecisive showerhead, switching between heavy and light, keeping everyone guessing.","Wind weaves through road noise, like a nosy neighbor peeking through the curtains.",Roadside concert featuring gusty winds and the rhythmic sounds of traffic chaos.
Clatter.wav,"Baseball thumps down wooden stairs, meeting a mysterious fate at the bottom like it's auditioning for a horror movie. ","Suitcase handles flip-flop, launching wood to the ground like an impromptu game of timber bowling.","Eclectic drum pounding, like a musical Frankenstein assembling a funky beat creature. ",Roller skates on a smooth floor: moonwalking on wheels or an interpretive dance about slippery life situations?,Suitcase handles' flip-flop symphony cues dramatic wood drop finale; travel luggage gone rogue.
vending machine action.wav,"Coins clashing like a mini metallic battle, taking center stage in the foreground.","Coins plop into a tin box, like a failed magician's trick.","A candy machine munches coins, belches out plastic-wrapped sweets, and a hungry hand snatches it.",A candy vending machine exchanges coin for goodies - the plastic-wrapped treasure extracted by the victorious buyer.,"Juggling tools like a clumsy mechanic, someone finally tucks them away in their boxy home."
Blackbird 252.wav,"A lone bird starts a chirp party, soon joined by its feathered friends. ","A bird's tweet prelude, followed by an avian aria performance. ",Birds gossiping slowly in chirpy conversation.,"Bird's two-chirp intro, then a vocal grand finale.",Solo bird's melody gets remixed with a chirpy choir.
Butter knife being Tapped.wav,"Someone crafting wood art indoors, while the floor's covered in sawdust and dad jokes.","Nails and metal bits adjusting, like a tiny DIY orchestra of tinkerers.","Carpenter wrestling wood into submission, creating furniture and sore muscles.",Pencil tap-dancing on a desk before taking a break to roll around.,Pen tapping on a desk turns into an office-chair-rocking symphony.
Cafeteria Ambience.wav,Socializing folks mingle as dishes clatter like cupboard Tetris. ,Gossip club meets while dishes orchestrate cupboard symphony. ,"Chatty assembly uses metallic tools, sounds like a robot debate. ","Dishes screech and crash, evoking a kitchenware wrestling match. ","Man speaks dish language in a clanky, dish-shuffling ceremony."
Elizabeth Evans Park - Mount Dora - June.wav,"Kitchen cooking and birds serenading, like an orchestra directed by Chef Mozart.","TV screeches, engine revs—sounds like my grandma attempting DJ lessons.","Car engines, tweet symphony, footfall beat—a city's soundtrack comes alive!",Breezy bird ballads accompany the underground squirrel's shovel dance.,"Avian chirps, rhythmic strides, encore of feathery tweets—a wildlife jam session."
Car Driving.wav,"A car engine revs like an excited dog, then calms down realizing it's just the mailman.","A car roars, channeling its inner lion, then remembers it's domesticated and slows down.","A hefty vehicle accelerates, wind distortion starring in the action scene, followed by a peaceful wind resolution.","A large vehicle revs, summoning a gust of wind that dances around before drifting away into silence.",A truck accelerates with a ruckus that could wake the dead... or at least the neighbor's baby.
OrchardBirds.wav,Birds in an open area having a chirpy gossip session.,Nonstop bird chatter like a feathery conference call.,"A massive bird party, no silence allowed!","Birds singing their hearts out, putting any karaoke to shame.","Birds rehearsing for their Broadway debut, all in tune."
"cleaning window, glass squeak.wav",A window cleaner's swiping symphony – someone's glass-shining ballet.,The object's loud squeaking protest as it endures an unwanted rubdown.,A window's fresh start – courtesy of Mr. Clean and his glassy potion.,Squeegee squeaks: the melodious result of a squeaky-clean window performance.,Squeaky serenade: a window's musical appreciation for its squeegee spa treatment.
coffee.wav,"A tap, then the paper's agony, topped by the tape's great escape.","A tap, paper shredding moment, and a tape's farewell.","Object meets table, tape plays stretchy serenade.",Masking tape: the theatrical entrance of adhesive melodies.,"Object-table rendezvous, followed by tape's stretching symphony."
container port 01.wav,"A car zooms with a distant clank, like a metallic hiccup from a road trip's unexpected guest.","A train glides along, bumping over track obstacles like an awkward rhythmic dance on rails.","A clank echoes as a car cruises, serenading the road with its mechanical duet.","Birds provide a melodious symphony, while distant machinery belts out its industrial backbeat.",A machine's distant roar harmonizes with chirping birds – nature's surprise heavy metal collab.
cookieSheetWiping.wav,"An individual smacking an item, then sliding it like a clumsy ice skater on linoleum. ","Dough plopped onto a table, massaged and slapped like a stress ball after a long day.","Dough lands on a table, gets fondled and patted as if it's receiving a pep talk for baking.","Gentle tapping sporadically, resembling a shy broom trying to flirt with the floor.","Sporadic soft tapping accompanied by a faint sweeping move, like an introverted tap dancer's debut."
fs_brokenMixer302-2.wav,"A squeaky tune plays, then a buzzing enters, like a duet between a mouse and an annoyed bumblebee.","A modern radio tuner catches just static and a high hum, like it's attending a robot choir performance.","A slender stream of white noise sizzles, whispers, and squeaks constantly, like chatty popcorn in a pan.","A slim discordant river of static sounds, hissing and squeaking over time like a disgruntled snake orchestra.","The static and high hum of a modern radio tuner, a soundtrack for extraterrestrial interpretive dance."
Creacking Oak 6bft  SHORT 130418_00.wav,"A windstorm whooshes by, playing a game of clang with hard objects.",Mighty winds outside turning doors and shutters into a creaky orchestra.,"A windstorm's outside, and hard objects are having a noisy brawl.","Planks, stands, doors, and shutters: the ultimate wind pressure creaking band!","Wind blowing fiercely, escalating from rustling whispers to birdie serenades."
winding finished rope.wav,"Screeching squeaks overpower chatty laughter, like a socially awkward pterodactyl joining the party. ","Engineering students labor away, the room echoing with confused Eureka! moments.",Desperate tape wrapping ensues as a trolley impatiently awaits its duct-taped masterpiece. ,Frantic taping salvages the container before the trolley sweeps it off like a speedy getaway driver.,"In a mechanical shop, engineering students create more clangs and clunks than a robot dance-off."
CreakingNoise.wav,"A plastic chair groaning under weight, struggling to remember what lead to this career path.","An ancient rocking chair creaks, like a haunted house's soundtrack.","A creaky rocking chair soldiering on, defying its retirement age.",Careful plastic wrap application: the world's most tedious ASMR experience.,Relentlessly stretching wrap: the never-ending battle against clingy plastic.
Crowd on Stairs.wav,"Distant tapping fades away, like ants tap dancing on a drum.",A herd of humans stampeding down corridors – wild office safari!,Human race in a hallway – an indoor marathon.,Many feet clashing on stairs – the great shoe orchestra!,"Faint tapping vanishes, like Morse code from shy ghosts."
water_boil_pour_stir-96.wav,"A fork hits a glass, making a sound like a failed attempt at playing xylophones.",A fork smacking a glass – that's the dinner bell gone rogue!,"The tablespoon stirring, as if to mix a giant's cocktail.","A soupçon of soup stirred with a tablespoon in a large glass, fancy!",An indecisive chef stirring periodically in a glass bowl – musical remix!
MISC_Int_Cat_Purring_002.wav,"A cat's purr is like a bass guitar solo, rhythmic precision nowhere in sight.","A cat's purr is like jazz music, deep and loud with no set intervals.","A gigantic beast of a cat mixing growls and purrs, scaring mice into therapy sessions.","As a person pets a feline Godzilla, its purr resonates like a freight train coming through.","A monstrous kitty lets out deep purrs as it receives gentle strokes, making him sound like a revving engine."
Dog escapes from the room.wav,A dog's wails complement the door's creaky symphony - a pet and home duet!,A dog's whimper crescendos with an open and shut door performance.,Nervous doggy scratches join the squeaky door's soundtrack.,A dog croons its distress before the door joins the chorus with a creaky finale.,"A whining canine serenade, accompanied by the door's dramatic creaky overture."
doing-the-dishes.wav,"Stacking dishes like a clumsy Jenga game, scrubbing them with the fury of a thousand dishwashers.",Dishes playing dunk the clown before facing the scrubbing trial.,"Dishes diving into the water, then facing the scrub-a-dub-dub interrogation.","Dishwashing: rinse not included, featuring an encore of stubborn grease spots.",A pot-chef turned rainmaker pouring water to create dishwashing harmony.
Remix of 101674__Robinhood76__01906_aluminium_foil_&#39;space-alien radio-static remix&#39;.wav,"A machine huffs and puffs, attempting to win a wind-blown staring contest with a surface. ","A nosy microphone eavesdrops on a dramatic, compressed air tango with a moving fan. ","A radio receiver fumbles through channels, ending up as the ultimate static master DJ. ","Artificial noise stuck in an eternal loop, like a sonic Groundhog Day. ","Compressed air whistles through a moving fan, as a nearby microphone embraces its inner gossip."
Glass moving 2.wav,"Rake stirs glass, clinks like a clumsy bartender making fancy cocktails. ","Rake jostles glass, clinking like a tap-dancing chandelier. ","Broom sweeps glass and dirt, a crunchy remix of housecleaning hits. ","Sweeping glass into a dustpan, sounds like an indoor hailstorm. ","Broom cleans glass and dirt, creating symphony for the sanitation enthusiast."
Sink Drain.wav,A lid's tight jar journey with a dramatic pause - sounds like a pickle sitcom!,Scooping from a can like a desperate treasure hunter seeking the last gold crumbs.,Breathing like an overheated dragon while pounding the beat of their own drum.,"Excavating a tin's contents as if seeking lost Atlantis, then scraping the echoes of history.","Twisting a jar lid, pausing for suspense, then a few more turns, like a DJ mixing preserves."
md1trk11.wav,"A plastic bottle's struggle with a knife ends in a tragic rip, like a heartbreaking Hollywood scene.",A knife-wielding plastic bottle meets its end with a tear-jerking rip.,Plastic piping getting rattled: the mariachi band you never asked for.,Rumbling plastic pipes: an amateur DJ's attempt at scratching records.,The creaking grand entrance of an obnoxiously attention-seeking door.
PS3F_FOZ_centro_Mufato_fita_embalagem_tarde.wav,"A car factory sounds like a robotic symphony, turning metal into magical, road-hugging wonders.",Duct tape's screech backed by rustling; the soundtrack of DIY adventures and beeping machines.,"Chatty folks, box slicing serenades, and door alarms announcing VIP arrivals.",Box-slicing maestro amid gossip and door alarms rolling out the red carpet for newcomers.,"Duct tape's grand entrance, rustling leaves' soothing whispers, and beeping machines setting the rhythm."
fallingbeans.wav,"Pebbles in a container, like a rocky applause for that one joke only grandma finds funny.",Metal pouring into dish sounds like a robot chef's failed attempt at cooking.,"Rocks hitting a hard surface - nature's way of saying knock, knock, who's there?",Change clinking in a canister - piggy banks singing the budget blues.,"Pouring metal into a dish, or is it a robot's idea of washing dishes?"
FAN STOP.wav,"A bike tire spins, with a card playing a rhythmic tune on its spokes, like a mini bicycle DJ party. ","A machine hums to life, snapping twigs like a nature-loving robot seeking firewood before powering down. ","Bike tire accelerates, card-flapping noise like a tiny drummer practicing on the spokes for a big gig. ","Fan heater whirring and gradually slowing, as if it's telling you I'm done warming your toes, buddy! ",Fan heater sings the whirring song of warmth before calling it quits with a gentle slow-down.
Fast Motor Running.wav,"A machine hums like a robotic opera singer, with metal notes adding buzz to the chorus.","A machine hums softly, while metal buzzes like a tiny electric bee in concert.","A little motor whirrs, doing its best impression of a sleepy power-drained hamster.","A weed cutter spins as the star, while its engine plays background music to this garden symphony.","A winding mechanism spins, creating a sound like the world's tiniest carousel ride inside a machine."
recycling center 1.wav,"A recycling truck devours cans, burping loudly in reverse.","Machinery chatters, gossiping workers its background music.",Chatty ghosts whisper as machines spin their tales.,Background chatter competes with a vehicular beatbox battle.,Machines hum and dance to muffled human symphony.
Howler monkey and other monkey or bird.wav,"An ape roars in a comical duet with a tweeting, squawking bird chorus.","Birds form a tweet-squawk-chirp band, while an ape plays the bellowing bass.",Forest creatures host a wild karaoke night: birds and primates stealing the show.,"Monkeys call the shots, tiny birds tweet backup, and other birds add squawk-sass.",Monkey maestros conduct a tweeting-squawking symphony of feathery forest musicians.
Stairwell with echo Front.wav,"Echoing footsteps indoors, a ninja cat burglar with squeaky shoes.","Heavy footsteps in silence, Bigfoot's trying ballet.","Quiet shattered by thudding steps, a clumsy tap dancer's debut.","High-heeled stomping, papers rustling – Godzilla's secretary at work.","Echoing indoor footsteps, a ghost rocking new sneakers."
harmonics.wav,"Piano and organ key duel for tuning supremacy, may the best pitch win!","Electronic instrument plays pitch roulette, bets on ear-tickling tunes.",Organ flexes its musical muscles with powerful chords and vigorous playing.,"Classical organ creates a note-orious atmosphere with long, steady chords.",Organ's workout session: playing firmly and strong to build musical biceps.
"Weight machine, gas resistance.wav","Drilling machine scratches a surface, like nails on a chalkboard, but for construction enthusiasts.","Electric motor saws, air pump brushes by - an orchestra for DIY lovers.","Electric motor saws, air pump brushes - the sweet symphony of home improvements.","Power tool turns on, bores through wood like a woodpecker with an engineering degree.","Power tool activates, drills through wood like it's on a quest to find buried treasure."
T156 Activity 2.2.wav,"Rain smacks roofs and ground, like Mother Nature's drummer in a wild solo.","Heavy rain, door opens, volume cranked to 11.","Vigorous rain meets open door, audio explosion!","Rain tap dances on glass; first fiercely, then gracefully.",Rain pummels roofs and ground in a watery wrestling match.
industrial_crash02.wav,"An explosion booms, then slowly fizzles like grandpa's hearing aid after fireworks night. ","A blast that starts loud and bold, gradually turning into a shy whisper. ","A lightning-fast, earth-shaking sound followed by echo's never-ending chit-chat. ","A massive boom, then its ghostly echo flees into the horizon. ",Thunder bursts and echoes on a never-ending gossip spree for 20 seconds.
Urban Fountain (San Francisco).wav,A car passes as water gushes like a comedic river dance performance.,"Rain pours down, as cars splash by like synchronized swimmers.",Heavy rain and driving cars – nature's car wash in action!,"Torrential water performs ballet, with a car stealing the spotlight.",White noise distorts like an overcaffeinated DJ stuck on repeat.
"MEN RUNNING, FOREST, BREATHING (1).wav","A person huffing and puffing like a worn-out steam engine, trying to run a marathon.","A wheezing runner gasping for air, as if they've never exercised before.","Heavy breathing interrupted by distant chatter, like an out-of-shape secret agent eavesdropping.",Someone running with labored breaths while receiving life advice from a faraway guru.,"A forest jogger inhales deeply, auditioning for the role of Big Bad Wolf in the woodland's theater."
New Lift.wav,"Beeps and chimes prelude an elevator's gate slam, like a quirky game of musical chairs. ","The hesitant elevator - open, close, open - with all the determination of a toddler learning to walk. ","An elevator playing peekaboo, with beeping as its giggles. ","The door whistles a tune, enters, and slams shut like a dramatic opera singer's performance. ",Creaky door screams hello and goodbye as it ushers in a grand entrance and exit.
nnus_forklift_driveby.wav,"A street sweeper roars down the street, auditioning for a heavy metal band.","A morning street sweeper with a heavy foot on the pedal, disturbing dreams of peace.","A train approaching, desperately late for its own surprise party.","Terrifying music crescendos, making you question your life choices before fading out.","A train approaches, giving chase to an imaginary speedster."
Plastic Ruler hit.wav,A dozen hand claps: an applause or a fly-swatting marathon?,Thirteen claps: it's either a chorus of excitement or a malfunctioning metronome.,"Thirteen claps foretelling future groove, or just a syncopated clock?",Dueling hand clappers: an odd way to settle arguments.,Clapping in sync: a bizarre staring contest for audiophiles.
fdv_orage.wav,"Thunder exploded like a cosmic drum solo, while rain danced all over the planet.","Thunder's throwing a booming party, with rain tap-dancing on the floor.","Thunder roars like a lion, as raindrops tiptoe their way in.","Thunder's rock concert kicks off, with rain as its opening act.","Thunder plays a call and response game with rain, alternating in a rhythmic performance."
01 A pug struggles to breathe 1_14_2008.wav,"A man marches, honking his nose like a trumpet, building up for a grand sneeze finale. ","A tiny, flat-faced dog snores and groans, mimicking grandpa's naptime symphony. ","A little, squished-face dog snoozes, producing a snoring-groaning concert like an off-key orchestra. ","Strolling by a lamb, as it sniffles and whines, like it's auditioning for a dramatic role. ","Approaching a lamb that sniffs and whines, sounding like it's practicing Morse code in sniffles."
01 hospital elevator with computer voice.wav,"Elevator descends with beeps like it's a game show contestant, while a robotic lady spills the tea.",Elevator channels inner R2D2 while descending and gossiping like Siri's long-lost cousin.,"Elevator beeps like Morse code, summoning a robotic female voice from the future.","Elevator DJ drops beeping beats, then Robo-Cher takes the mic for a surreal duet.","Elevator plays Name That Beep while descending, with a talkative fembot as the quirky host."
Sunny Afternoon Suburb Ambiance .wav,"A giant truck zooms by, hitting the brakes like it's late for a monster truck date.","A truck swooshes past, then slams the air brakes as if stopping for a superhero entrance.","A truck cruises by before releasing air brakes, stopping like it's playing musical chairs with the road.","One mammoth vehicle passes another, halting like King Kong just stepped into traffic.","The engine's hum crescendos as it passes, with a cheeky exhaust burst bidding you adieu."
01862 heavy machine working.wav,A colossal digger making local seismic activity with its groovy moves. ,A vehicle engine imitates a rollercoaster's ups and downs. ,"Trucks zip by, while a human dirt-obliterator struts through. ",A dirt-stomping wanderer is interrupted by the tractor's grand entrance. ,The engine or propeller plane stepping on the gas like it's in a dance-off.
0211_170236 walk downstairs.wav,"As the machine hums, someone staggers around like a tipsy robot in the background.","Amidst the machine's symphony, a wobbly human cha-cha takes place in the backdrop.","A sneakily strolling person opens a door, only to discover their own surprise party.","A stampede of stair-climbing folks inside, playing an impromptu game of step-tag.",An indoor stairway hosts a conga line of humans ascending to the ultimate dance-off.
underWater001.wav,"Sipping water from a glass, like a thirsty vampire trying to quench their thirst.","Plunging into the water, joining a shrimp party underwater.","Sinking in the ocean, eavesdropping on shrimp gossip.","Water splashing beneath the surface, a mini aquatic mosh pit.","Water gushing from a pipe, like a gurgling chorus of underwater opera singers."
